City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.0752,-159.319,298.33,84,100,7.2,US,1657451096
Caxito,-8.5785,13.6643,300.83,53,97,1.47,AO,1657451096
Pitimbu,-7.4706,-34.8086,299.07,76,4,6.28,BR,1657450903
Liuzhou,24.3126,109.3892,303.78,74,52,2.24,CN,1657451096
Vaini,-21.2,-175.2,296.24,83,20,5.66,TO,1657451096
Saskylakh,71.9167,114.0833,285.75,60,94,3.81,RU,1657451096
Hambantota,6.1241,81.1185,305.34,58,40,8.23,LK,1657451096
Redmond,47.674,-122.1215,289.35,82,75,1.79,US,1657450848
Codrington,-38.2667,141.9667,281.41,77,100,5.1,AU,1657451096
Rio Grande,-32.035,-52.0986,288.21,92,37,5.61,BR,1657450933
Busselton,-33.65,115.3333,286.62,63,77,3.57,AU,1657451096
Provideniya,64.3833,-173.3,282.02,93,100,3.76,RU,1657451097
Diamantino,-14.4086,-56.4461,292.99,54,95,2.54,BR,1657451053
Safi,32.2994,-9.2372,301.4,46,0,5.63,MA,1657451035
George Town,5.4112,100.3354,304.11,74,20,1.54,MY,1657450946
Cape Town,-33.9258,18.4232,288.77,88,75,7.2,ZA,1657451079
Prince Albert,53.2001,-105.7677,286.16,91,84,2.22,CA,1657450837
Avarua,-21.2078,-159.775,296.18,56,100,3.6,CK,1657451015
Vao,-22.6667,167.4833,297.39,81,94,9.16,NC,1657451097
Bluff,-46.6,168.3333,276.37,74,92,3.52,NZ,1657451097
Bathsheba,13.2167,-59.5167,301.49,91,20,9.77,BB,1657451097
Tasiilaq,65.6145,-37.6368,279.24,82,86,2.99,GL,1657451098
Saint Paul Harbor,57.79,-152.4072,284.88,82,100,2.06,US,1657451098
Port Elizabeth,-33.918,25.5701,289.99,76,70,2.24,ZA,1657451098
Nador,35.174,-2.9287,299.29,69,20,4.12,MA,1657451098
Chabahar,25.2919,60.643,303.26,77,44,6.97,IR,1657451098
Coari,-4.085,-63.1414,295.51,97,78,0.82,BR,1657451098
Hobart,-42.8794,147.3294,282.18,76,75,2.57,AU,1657450962
Sabha,27.0377,14.4283,310.39,20,0,5.31,LY,1657451054
Tazovsky,67.4667,78.7,287.68,66,68,2.56,RU,1657451099
Hokitika,-42.7167,170.9667,279.99,67,100,4.74,NZ,1657450865
Ilulissat,69.2167,-51.1,278.16,93,100,2.06,GL,1657451099
Cradock,-32.1642,25.6192,291.46,34,67,9.5,ZA,1657450899
San Policarpo,12.1791,125.5072,300.55,80,100,1.31,PH,1657451099
Fernley,39.608,-119.2518,291.95,25,0,3.16,US,1657451099
Xiangfan,32.0422,112.1448,307.17,64,8,5.28,CN,1657451099
Semīrom,31.4167,51.5667,305.35,15,28,2.68,IR,1657451099
Ekhabi,53.5102,142.9671,290.76,78,19,4.31,RU,1657451099
Northam,51.0333,-4.2167,293.37,50,50,1.62,GB,1657451099
Beringovskiy,63.05,179.3167,282.53,89,100,4.64,RU,1657451099
Marsá Maţrūḩ,31.3525,27.2453,301.46,62,6,7.54,EG,1657451100
Saint-Augustin,51.226,-58.6502,285.88,79,94,5.08,CA,1657451100
Hualmay,-11.0964,-77.6139,288.81,87,63,3.89,PE,1657451100
Torbay,47.6666,-52.7314,289.2,66,0,3.58,CA,1657451100
Mazyr,52.0495,29.2456,295.23,50,84,4.02,BY,1657450864
Kasongo-Lunda,-6.4667,16.8167,307.63,17,26,1.37,CD,1657451100
Bridlington,54.0831,-0.1919,300.11,78,9,4.09,GB,1657450838
Mae Sai,20.4335,99.8762,300.21,89,99,0.71,TH,1657451100
Coquimbo,-29.9533,-71.3436,286.57,79,100,1.49,CL,1657451067
Talara,-4.5772,-81.2719,290.04,84,88,6.84,PE,1657450918
Talaya,61.3833,152.75,296.14,54,44,2.84,RU,1657451100
Broome,42.2506,-75.833,286.02,87,0,0.89,US,1657451100
Ribeira Grande,38.5167,-28.7,293.37,64,75,2.57,PT,1657451101
Humaitá,-7.5061,-63.0208,295.35,78,45,0.37,BR,1657451101
Bam,29.106,58.357,312.72,11,52,6.06,IR,1657451101
Norman Wells,65.282,-126.8329,291.08,56,81,2.05,CA,1657451101
Bambous Virieux,-20.3428,57.7575,296.6,62,47,9.57,MU,1657451101
Frontera,26.9333,-101.45,302.22,56,10,1.34,MX,1657451099
Dikson,73.5069,80.5464,276.32,91,76,4.16,RU,1657451101
Wagar,16.1525,36.2032,305.29,42,92,7.69,SD,1657451101
Raduzhny,62.0961,77.475,297.31,38,2,4.33,RU,1657451102
Esperance,-33.8667,121.9,286.5,75,39,6.55,AU,1657451102
Pacific Grove,36.6177,-121.9166,287.21,92,100,5.36,US,1657451102
Na Klang,17.3072,102.1889,302.46,99,89,0.69,TH,1657451102
Winnemucca,40.973,-117.7357,287.18,30,0,1.54,US,1657451102
Bredasdorp,-34.5322,20.0403,285.82,85,96,3.01,ZA,1657451102
Yuxia,34.0615,108.6291,311.3,36,67,2.67,CN,1657451089
Mar del Plata,-38.0023,-57.5575,287.16,95,100,2.57,AR,1657451077
Chokurdakh,70.6333,147.9167,290.56,43,96,5.8,RU,1657450833
Thompson,55.7435,-97.8558,286.24,100,100,1.03,CA,1657451103
Road Town,18.4167,-64.6167,301.17,83,40,4.63,VG,1657451103
Tuktoyaktuk,69.4541,-133.0374,276.83,92,8,4.46,CA,1657451103
Eureka,40.8021,-124.1637,288.67,85,31,1.2,US,1657451103
Avera,33.194,-82.5271,297.25,90,99,1.33,US,1657451103
Talnakh,69.4865,88.3972,288.05,37,16,5.96,RU,1657450858
Ternate,0.8,127.4,300.14,82,100,1.55,ID,1657450957
Hilo,19.7297,-155.09,297.75,97,100,3.6,US,1657451104
Mbarara,-0.608,30.65,298.46,34,86,3.39,UG,1657451104
Arlit,18.7369,7.3853,312.74,13,0,4.46,NE,1657451104
Stokmarknes,68.5646,14.9108,289.13,72,40,2.06,NO,1657451104
Bethel,41.3712,-73.414,291.75,74,0,0,US,1657451078
Puerto Suárez,-18.95,-57.8,298.46,83,0,2.06,BO,1657451104
Qaanaaq,77.484,-69.3632,278.87,74,99,2.47,GL,1657451014
Vikhorevka,56.1201,101.1636,295.92,44,34,3.71,RU,1657451105
Mīzan Teferī,6.9833,35.5833,290.97,97,100,0.56,ET,1657451105
Teguise,29.0605,-13.564,301.27,48,40,7.2,ES,1657450994
Amapá,1,-52,295.62,97,69,0.5,BR,1657451105
Lavrentiya,65.5833,-171,281.22,92,100,4.37,RU,1657451105
Alice Springs,-23.7,133.8833,280.9,42,0,3.09,AU,1657451105
Karasburg,-28.0167,18.75,285.22,58,64,9.89,NA,1657450833
San Cristobal,7.7669,-72.225,295.25,95,100,1.96,VE,1657451105
Progreso,21.2833,-89.6667,297.21,90,43,3.13,MX,1657451106
Teya,60.3778,92.6267,299.07,40,80,4.82,RU,1657451106
Marzuq,14.4,46.4667,304.55,21,100,7.99,YE,1657451106
Inhambane,-23.865,35.3833,298.21,51,0,5.15,MZ,1657451017
Arraial do Cabo,-22.9661,-42.0278,294.54,87,5,10.13,BR,1657450882
Atuona,-9.8,-139.0333,298.16,81,30,9.13,PF,1657451106
Kudinovo,54.9994,36.2533,295.68,78,99,1.36,RU,1657451106
Meulaboh,4.1363,96.1285,300.92,76,97,2.41,ID,1657451106
Khatanga,71.9667,102.5,286.99,42,99,4.02,RU,1657451106
Margate,51.3813,1.3862,296.41,59,0,2.72,GB,1657451106
Richards Bay,-28.783,32.0377,300.87,26,0,2.18,ZA,1657450869
Alpena,45.0617,-83.4327,287.69,92,0,0.45,US,1657451107
Nokaneng,-19.6667,22.2667,298.4,23,0,2.92,BW,1657451107
Coacoyul,17.8058,-99.11,289.43,95,38,1.57,MX,1657451107
Boyolangu,-8.1181,111.8935,297.18,90,89,2.35,ID,1657451107
Bonthe,7.5264,-12.505,296.97,93,100,2.73,SL,1657451107
San Jose,37.3394,-121.895,288.91,86,0,0.89,US,1657450890
Portland,45.5234,-122.6762,288.17,85,75,0,US,1657450994
Hithadhoo,-0.6,73.0833,301.25,72,100,1.94,MV,1657451107
Keflavik,64.0049,-22.5624,283.39,100,100,6.69,IS,1657450878
Slantsy,59.1182,28.0914,294.29,53,60,0.47,RU,1657451029
Puerto Ayora,-0.7393,-90.3518,293.46,96,90,0.89,EC,1657451108
Castro,-24.7911,-50.0119,285.51,81,93,1.98,BR,1657451108
Lamballe,48.4676,-2.5144,300.57,34,6,1.34,FR,1657451108
Vila Velha,-20.3297,-40.2925,293.12,97,22,1.48,BR,1657450897
Kulhudhuffushi,6.6221,73.07,300.39,81,100,8.02,MV,1657451108
Klaksvík,62.2266,-6.589,285.66,96,99,4.83,FO,1657451108
Camacha,33.0833,-16.3333,293.83,73,75,8.75,PT,1657451108
Kavaratti,10.5669,72.642,300.6,82,99,8.55,IN,1657451108
Faanui,-16.4833,-151.75,298.8,72,86,7.96,PF,1657451109
Uberlândia,-18.9186,-48.2772,289.62,56,12,4.54,BR,1657451109
Souillac,-20.5167,57.5167,295.08,58,44,9.38,MU,1657451109
Pisco,-13.7,-76.2167,288.16,91,52,0.8,PE,1657450919
Hofn,64.2539,-15.2082,283.58,96,100,0.91,IS,1657450875
Anito,12.4497,125.2886,299.55,87,100,1.4,PH,1657451109
Deputatsky,69.3,139.9,287.66,62,100,1.8,RU,1657451109
Tual,-5.6667,132.75,299.91,80,93,9.55,ID,1657451109
Vilyuysk,63.7553,121.6247,289.39,86,100,1.52,RU,1657451109
Lakes Entrance,-37.8811,147.981,278.8,82,30,4.27,AU,1657451109
Port Lincoln,-34.7333,135.8667,285.37,57,60,6.61,AU,1657451110
Port Hedland,-20.3167,118.5667,289.18,59,0,0,AU,1657451110
Nsanje,-16.92,35.262,301.45,36,6,3.19,MW,1657451110
Rūdbār,30.15,62.6,313.78,9,17,3.35,AF,1657451110
Carnarvon,-24.8667,113.6333,292.89,60,97,6.89,AU,1657451110
Airai,-8.9266,125.4092,288.37,94,95,1.43,TL,1657451110
Georgiyevka,43.0369,74.7114,305.17,22,0,3,KZ,1657451110
Vardø,70.3705,31.1107,285.14,87,20,2.06,NO,1657450844
Timbiquí,2.7717,-77.6654,296.62,95,100,2.3,CO,1657451110
Bodrum,37.0383,27.4292,305.11,55,0,8.99,TR,1657451104
Shubarkuduk,49.1447,56.4872,304.33,25,32,3.78,KZ,1657451111
Sandpoint,48.2766,-116.5533,288.58,81,40,0.45,US,1657451111
Sulina,45.1559,29.6536,300.87,39,98,5.72,RO,1657451111
Formosa,-26.1775,-58.1781,294.14,68,0,4.12,AR,1657451111
León,21.1167,-101.6667,289.18,72,13,1.43,MX,1657451053
Faya,18.3851,42.4509,300.44,26,100,5.86,SA,1657451111
Saint-Philippe,-21.3585,55.7679,296.92,67,45,7.74,RE,1657451111
Huarmey,-10.0681,-78.1522,289.09,90,59,4.07,PE,1657450948
Sokolo,14.7328,-6.1219,307.79,38,63,5.67,ML,1657451111
Tinos,37.5375,25.1634,299.94,57,20,13.13,GR,1657450947
Leningradskiy,69.3833,178.4167,275.99,86,100,8.78,RU,1657451111
Mananjary,-21.2167,48.3333,294.18,80,80,4.05,MG,1657451111
Lata,40.1629,-8.3327,300.97,16,0,2.37,PT,1657451112
Gornopravdinsk,60.05,69.9,302.41,51,53,1.89,RU,1657451112
Kahului,20.8947,-156.47,298.16,83,75,7.72,US,1657451112
Hasaki,35.7333,140.8333,298.37,92,5,4.57,JP,1657451112
São Filipe,14.8961,-24.4956,296.99,80,45,2.02,CV,1657451112
Malakal,9.5334,31.6605,304.96,43,86,4.07,SS,1657451112
Cotonou,6.3654,2.4183,299.24,79,100,5.84,BJ,1657450963
San Fernando del Valle de Catamarca,-28.4696,-65.7852,297.36,12,0,4.54,AR,1657451112
Saldanha,-33.0117,17.9442,288.41,75,92,3.95,ZA,1657451112
Kruisfontein,-34.0033,24.7314,288.64,78,93,3.56,ZA,1657450874
Severo-Kuril'sk,50.6789,156.125,287.97,82,100,3.4,RU,1657450915
Anchorage,61.2181,-149.9003,287.23,79,78,2.68,US,1657450962
Marshall,34.3834,-86.3333,297.18,96,100,1.54,US,1657451113
Narsaq,60.9167,-46.05,281.27,74,72,1.27,GL,1657451113
Fortuna,40.5982,-124.1573,288.52,89,100,0.89,US,1657451113
Sucre,-19.0333,-65.2627,283.22,52,68,0.9,BO,1657451113
Urusha,54.05,122.9,290.89,83,49,2.14,RU,1657451043
Cape Girardeau,37.3834,-89.7168,294.92,68,5,3.72,US,1657451113
Mount Gambier,-37.8333,140.7667,281.02,77,80,3.91,AU,1657451113
Kirakira,-10.4544,161.9205,299.39,82,33,2.38,SB,1657451114
Guerrero Negro,27.9769,-114.0611,292.2,90,7,4.74,MX,1657451114
Hohhot,40.8106,111.6522,301.48,29,35,3.85,CN,1657450944
Rāvar,31.2656,56.8055,312.21,7,6,5.09,IR,1657451114
Mocuba,-16.8392,36.9856,299.06,48,0,2.23,MZ,1657451114
Prestea,5.4327,-2.1428,301.22,62,100,2.99,GH,1657451114
Alofi,-19.0595,-169.9187,298.32,79,96,11.54,NU,1657450840
Nong Khai,17.9167,103.0833,301.86,81,63,2.33,TH,1657451114
Tailai,46.3833,123.4,294.46,71,19,9,CN,1657450990
Te Anau,-45.4167,167.7167,272.61,94,39,0.84,NZ,1657451114
Roald,62.5833,6.1333,286.99,76,40,4.12,NO,1657450899
Tralee,52.2704,-9.7026,295.29,68,75,2.06,IE,1657450867
Māngrol,21.1167,70.1167,301.53,80,100,10.05,IN,1657451115
Beira,-19.8436,34.8389,299.2,69,20,4.12,MZ,1657451115
Nantucket,41.2835,-70.0995,292.67,80,0,3.09,US,1657451115
Copiapó,-27.3667,-70.3333,281.31,84,1,0.2,CL,1657450980
Umluj,25.0213,37.2685,305.34,48,12,4.52,SA,1657451115
Halifax,44.6453,-63.5724,288.53,78,0,0.89,CA,1657451115
Basco,20.4487,121.9702,302.12,81,40,6.26,PH,1657451115
Dalbandin,28.8947,64.4101,312.1,26,77,3.17,PK,1657451115
Nerchinskiy Zavod,51.3088,119.61,290.55,81,47,1.96,RU,1657451115
Punto Fijo,11.6956,-70.1996,299.07,86,91,10.77,VE,1657451115
Yaan,7.3833,8.5667,299.98,72,98,1.87,NG,1657451115
Hanchuan,30.65,113.7667,304.07,76,9,5.12,CN,1657451116
Pringsewu,-5.3582,104.9744,297.34,88,50,0.99,ID,1657451116
Kurisove,46.9695,30.9591,302.12,31,78,7.16,UA,1657451116
Gordeyevka,52.9569,31.9703,293.66,73,92,2.94,RU,1657451116
Ponta do Sol,32.6667,-17.1,302.11,38,4,1.48,PT,1657451016
Karratha,-20.7377,116.8463,293.03,39,0,2.62,AU,1657451116
Andenes,69.3143,16.1194,284.22,87,75,3.09,NO,1657451116
Guanhães,-18.775,-42.9325,288.21,90,22,1.64,BR,1657451116
Palu,-0.8917,119.8707,298.5,94,98,0.99,ID,1657451116
Bereda,43.2686,-7.5406,307.82,26,0,0.43,ES,1657451116
Kumul,42.8,93.45,309.82,9,66,6.59,CN,1657451116
Pine Bluff,34.2284,-92.0032,298.33,88,75,2.57,US,1657451116
Florianópolis,-27.6146,-48.5012,290.2,95,0,5.14,BR,1657451117
Poum,-20.2333,164.0167,299.17,83,9,7.79,NC,1657451117
Salalah,17.0151,54.0924,299.38,88,100,7.79,OM,1657450842
Ariquemes,-9.9133,-63.0408,294.23,73,5,0.3,BR,1657451117
Lompoc,34.6391,-120.4579,287.33,94,100,1.54,US,1657451117
Saint-Joseph,-21.3667,55.6167,296.36,64,28,7.88,RE,1657451117
Bom Jesus,-9.0744,-44.3586,296.17,65,6,3.9,BR,1657451117
Maţāy,28.419,30.7792,310.66,19,3,5.29,EG,1657450966
Llangefni,53.2556,-4.3106,294.03,70,20,3.6,GB,1657451117
Butaritari,3.0707,172.7902,301.12,78,5,7.27,KI,1657451118
Rudnyy,52.9594,63.1206,303.28,44,98,5.53,KZ,1657451118
Ust-Tsilma,65.441,52.1498,299.18,29,62,1.43,RU,1657451118
Tubualá,9.5167,-79.0333,298.89,89,100,2.76,PA,1657451118
Port Hueneme,34.1478,-119.1951,293.99,91,0,2.57,US,1657451118
Kailua,21.4022,-157.7394,299.14,84,75,5.14,US,1657451118
Port Macquarie,-31.4333,152.9167,285.09,94,75,3.6,AU,1657451118
Cabo San Lucas,22.8909,-109.9124,300.16,70,41,4.85,MX,1657451118
Tilichiki,60.4667,166.1,285.38,73,12,2.81,RU,1657451118
Esim,4.8699,-2.2405,299.51,70,100,4.55,GH,1657451118
Nanortalik,60.1432,-45.2371,279.21,89,92,3.02,GL,1657451119
Bengkulu,-3.8004,102.2655,299.62,76,29,1.59,ID,1657451119
Xiongzhou,25.1167,114.3,303.08,79,34,1.27,CN,1657451119
Jyvaskyla,62.2415,25.7209,292.11,63,0,3.6,FI,1657451003
Mossamedes,-15.1961,12.1522,296.07,60,0,2.95,AO,1657450905
Saint George,37.1041,-113.5841,301.48,25,0,2.57,US,1657451038
Lębork,54.5392,17.7501,292.83,62,85,4.91,PL,1657451014
Clyde River,70.4692,-68.5914,280.51,71,30,0.86,CA,1657451119
Tehri,30.3833,78.4833,299.24,82,100,1.28,IN,1657451027
Birjand,32.8663,59.2211,310.24,10,2,5.66,IR,1657451102
Dwārka,22.2394,68.9678,301.54,81,100,11.02,IN,1657451119
Porto-Vecchio,41.591,9.2795,303.96,37,0,5.66,FR,1657450820
Chui,-33.6971,-53.4616,288.19,94,0,3,UY,1657451120
Port Hawkesbury,45.6169,-61.3485,290.88,71,1,2.68,CA,1657451120
Husavik,66.0449,-17.3389,286.69,74,100,1.44,IS,1657451120
Srīvardhan,18.0333,73.0167,299.62,84,100,7.11,IN,1657451120
Cauquenes,-35.9671,-72.3225,280.08,94,100,1.39,CL,1657451120
Sorong,-0.8833,131.25,299.69,85,99,2.68,ID,1657451120
Kalabo,-14.97,22.6814,300.09,25,1,2.16,ZM,1657451120
Vestmannaeyjar,63.4427,-20.2734,283.7,100,75,8.75,IS,1657451120
Coupar Angus,56.5455,-3.2677,297.89,55,86,2.68,GB,1657451121
Teeli,51.0333,90.2333,298.48,30,49,3.76,RU,1657451121
Longyearbyen,78.2186,15.6401,281.06,76,100,7.2,SJ,1657450879
Mehamn,71.0357,27.8492,287.1,82,20,3.6,NO,1657451121
Chifeng,42.2683,118.9636,294.84,65,76,2.59,CN,1657450925
Djibouti,11.5,42.5,308.04,27,68,9.94,DJ,1657451121
Rognan,67.0953,15.3878,289.29,74,79,3.11,NO,1657450839
Srandakan,-7.9386,110.2506,298.09,84,56,2.9,ID,1657451121
Bichena,10.45,38.2,287.64,80,100,1.77,ET,1657451121
Iqaluit,63.7506,-68.5145,276,93,100,2.06,CA,1657451121
Allanridge,-27.7543,26.6438,294.04,30,1,5.5,ZA,1657450940
Kwang Binh,17.4833,106.6,300.14,87,95,0.97,VN,1657451122
Kaspi,41.9252,44.4257,306.45,22,7,6.61,GE,1657451122
Lagos,6.5833,3.75,299.73,82,100,3,NG,1657450914
Dromolaxia,34.8761,33.586,306.73,63,20,12.07,CY,1657451122
Tiksi,71.6872,128.8694,288.22,48,48,3.5,RU,1657450847
Puerto del Rosario,28.5004,-13.8627,304.01,45,0,4.63,ES,1657450881
Pandan,14.0453,124.1694,301.04,79,100,1.57,PH,1657451122
Erenhot,43.6475,111.9767,303.19,17,4,3.1,CN,1657451122
Sioux Lookout,50.1001,-91.917,291.19,100,100,4.12,CA,1657451122
Hamilton,39.1834,-84.5333,290.62,77,0,3.6,US,1657451122
Pangnirtung,66.1451,-65.7125,281.69,74,55,1.26,CA,1657451123
Gutiérrez,4.2547,-74.0025,283.51,95,79,1.71,CO,1657451123
Batemans Bay,-35.7167,150.1833,284.87,84,83,2.8,AU,1657451123
Caeté,-19.88,-43.6697,289.72,84,26,1.91,BR,1657451123
St. George's,12.0564,-61.7485,299.86,83,100,7.99,GD,1657451044
Whitehorse,60.7161,-135.0538,283.88,66,71,1.34,CA,1657451070
Atambua,-9.1061,124.8925,295.85,80,89,2.38,ID,1657451123
Waipawa,-41.4122,175.5153,279.85,69,97,2.51,NZ,1657451123
Kyren,51.6828,102.1408,290.63,75,99,2.09,RU,1657451123
Vila Franca do Campo,37.7167,-25.4333,294.93,69,87,2.9,PT,1657451123
Dāhānu,19.9667,72.7333,299.28,86,100,6.78,IN,1657450897
Puerto Colombia,10.9878,-74.9547,298.2,88,98,3.47,CO,1657451123
Pevek,69.7008,170.3133,273.15,96,100,4.92,RU,1657451124
Yar-Sale,66.8333,70.8333,292.77,52,77,5.02,RU,1657451124
Asău,46.4333,26.4,295.66,64,96,0.98,RO,1657451124
Hearst,49.6835,-83.6665,286.72,53,100,3.48,CA,1657451124
Mmabatho,-25.85,25.6333,291.51,32,0,7.22,ZA,1657451124
Santiago del Estero,-27.7951,-64.2615,290.9,77,99,2.02,AR,1657450987
Honiara,-9.4333,159.95,298.43,87,24,0.99,SB,1657451071
Rocha,-34.4833,-54.3333,288.9,95,37,4.95,UY,1657450842
Lithgow,-33.4833,150.15,278.06,98,91,3.36,AU,1657451124
Saint Anthony,45.0205,-93.218,295.11,70,0,4.63,US,1657451074
Telšiai,55.9814,22.2472,290.84,70,19,2.81,LT,1657451102
Henties Bay,-22.116,14.2845,289.31,62,0,6.8,NA,1657451124
Tanga,-5.0667,39.1,299.7,60,54,6.49,TZ,1657451125
Dauphin,51.1494,-100.0502,291.13,94,74,2.02,CA,1657451125
Erzin,36.9559,36.2,302.52,52,36,5.13,TR,1657450906
Norrtälje,59.758,18.705,289.83,45,87,2.39,SE,1657451125
Blythe,33.6103,-114.5964,304.84,21,0,0,US,1657451125
São José da Coroa Grande,-8.8978,-35.1478,298.15,78,45,6.01,BR,1657451125
Tchaourou,8.8865,2.5975,299.24,76,99,2.54,BJ,1657451125
Chekmagush,55.1319,54.6556,300.85,54,1,2.28,RU,1657451125
Lagoa,39.05,-27.9833,293.22,67,100,2.37,PT,1657451126
Sinnamary,5.3833,-52.95,297.95,88,97,1.51,GF,1657451126
Kaltasy,55.9693,54.8032,300.98,53,8,2.11,RU,1657451126
Haines Junction,60.7522,-137.5108,280.15,94,11,1.4,CA,1657451126
‘Ewa Beach,21.3156,-158.0072,299.12,69,0,4.12,US,1657451126
Sos'va,59.1766,61.8558,300.91,52,44,1.79,RU,1657450854
Isangel,-19.55,169.2667,297.95,77,47,4.08,VU,1657451126
Port Hardy,50.6996,-127.4199,286.85,89,100,3.17,CA,1657451126
Sitka,57.0531,-135.33,287.09,88,100,6.69,US,1657451126
Atar,20.5169,-13.0499,309.93,23,0,2.67,MR,1657451127
Ust'ye,59.6304,39.736,299.99,51,59,4.06,RU,1657451127
Beloha,-25.1667,45.05,300.66,27,0,3.3,MG,1657451127
Sakaiminato,35.55,133.2333,298.17,87,44,1.73,JP,1657451127
Taltal,-25.4,-70.4833,285.45,76,87,1.83,CL,1657450951
Warri,5.5167,5.75,299.07,83,99,2.64,NG,1657451127
Pavlohrad,48.5167,35.8667,305.98,30,31,0.69,UA,1657450895
Half Moon Bay,37.4636,-122.4286,288.94,90,100,3.09,US,1657451127
Ketchikan,55.3422,-131.6461,287.41,88,100,5.66,US,1657451128
Phang Nga,8.4509,98.5298,302.17,89,99,2.83,TH,1657451128
Araouane,18.9048,-3.5265,312.76,20,67,5.18,ML,1657451128
Nouakchott,18.0858,-15.9785,298.11,78,10,4.84,MR,1657450884
Oyem,1.5995,11.5793,297.62,68,98,1.26,GA,1657451128
Jasper,37.2001,-94.3502,293.72,94,0,0,US,1657451128
Kavieng,-2.5744,150.7967,301.2,75,100,6.55,PG,1657451128
Macao,22.2006,113.5461,304.04,84,20,3.6,MO,1657451128
Mersing,2.4312,103.8405,301.26,76,100,3.2,MY,1657451128
Seoul,37.5683,126.9778,303.81,60,100,1.45,KR,1657450838
São Domingos,-13.3983,-46.3183,291.77,77,1,5.74,BR,1657451129
Ballina,-28.8667,153.5667,281.49,97,0,3.27,AU,1657451129
Svetlaya,46.5389,138.3297,290.29,96,55,3.14,RU,1657451129
Berlevåg,70.8578,29.0864,287.12,77,86,1.54,NO,1657451129
Babushkin,51.7122,105.8647,288.73,70,100,3.89,RU,1657451129
Gaza,31.5,34.4667,306.42,56,0,6.39,PS,1657451129
Price,39.5994,-110.8107,292.74,27,0,2.06,US,1657451129
Tucuruí,-3.7661,-49.6725,298.01,80,13,0.61,BR,1657451129
Krivosheino,57.3431,83.9261,302.08,49,41,2.17,RU,1657451129
